all,1,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,1
python,2,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,2
r,3,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,3
modeling,10,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,4
Machine learning,11,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,5
SQL,12,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,6
Communication,16,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,7
Deep Learning,22,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,8
AI,23,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,9
NLP,24,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,10
Statistics,31,Sr. Data Scientist,1,"Confidential, Outsourcing",1,NA,1,11
AI,23,Data Scientist – Model Validation,3166,"Confidential, Outsourcing",1,NA,1,12
NLP,24,Data Scientist – Model Validation,3166,"Confidential, Outsourcing",1,NA,1,13
all,1,Data Scientist,2,Biz2Credit Inc.,2,NA,1,14
r,3,Data Scientist,2,Biz2Credit Inc.,2,NA,1,15
Computer science,15,Data Scientist,2,Biz2Credit Inc.,2,NA,1,16
Excel,25,Data Scientist,2,Biz2Credit Inc.,2,NA,1,17
Statistics,31,Data Scientist,2,Biz2Credit Inc.,2,NA,1,18
Mathematics,33,Data Scientist,2,Biz2Credit Inc.,2,NA,1,19
Leadership,53,Data Scientist,2,Biz2Credit Inc.,2,NA,1,20
Data analysis,54,Data Scientist,2,Biz2Credit Inc.,2,NA,1,21
Quantitative analysis,55,Data Scientist,2,Biz2Credit Inc.,2,NA,1,22
all,1,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,23
r,3,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,24
Computer science,15,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,25
Excel,25,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,26
Statistics,31,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,27
Mathematics,33,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,28
Leadership,53,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,29
Data analysis,54,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,30
Quantitative analysis,55,Data Scientist,12,Biz2Credit Inc.,2,"New York, NY",3,31
all,1,Data Scientist,3,myCOI,3,NA,1,32
python,2,Data Scientist,3,myCOI,3,NA,1,33
r,3,Data Scientist,3,myCOI,3,NA,1,34
Machine learning,11,Data Scientist,3,myCOI,3,NA,1,35
TensorFlow,35,Data Scientist,3,myCOI,3,NA,1,36
Cloud,39,Data Scientist,3,myCOI,3,NA,1,37
Data analysis,54,Data Scientist,3,myCOI,3,NA,1,38
all,1,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,39
python,2,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,40
r,3,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,41
modeling,10,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,42
Machine learning,11,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,43
Computer science,15,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,44
Hadoop,19,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,45
SAS,28,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,46
Hive,30,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,47
Statistics,31,Data Scientist / Predictive Modeler,4,M Theory Solutions,4,NA,1,48
all,1,Provider Data Scientist,5,UnitedHealth Group,5,NA,1,49
Excel,25,Provider Data Scientist,5,UnitedHealth Group,5,NA,1,50
all,1,Data Scientist,6,Crowe,6,NA,1,51
Machine learning,11,Data Scientist,6,Crowe,6,NA,1,52
Deep Learning,22,Data Scientist,6,Crowe,6,NA,1,53
NLP,24,Data Scientist,6,Crowe,6,NA,1,54
all,1,Senior Data Scientist,7,Trunk Club,7,NA,1,55
python,2,Senior Data Scientist,7,Trunk Club,7,NA,1,56
Machine learning,11,Senior Data Scientist,7,Trunk Club,7,NA,1,57
Computer science,15,Senior Data Scientist,7,Trunk Club,7,NA,1,58
Communication,16,Senior Data Scientist,7,Trunk Club,7,NA,1,59
Curiosity,44,Senior Data Scientist,7,Trunk Club,7,NA,1,60
API,47,Senior Data Scientist,7,Trunk Club,7,NA,1,61
Data analysis,54,Senior Data Scientist,7,Trunk Club,7,NA,1,62
Quantitative analysis,55,Senior Data Scientist,7,Trunk Club,7,NA,1,63
Computer vision,56,Senior Data Scientist,7,Trunk Club,7,NA,1,64
all,1,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,65
python,2,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,66
r,3,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,67
modeling,10,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,68
Statistics,31,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,69
Mathematics,33,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,70
TensorFlow,35,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,71
Business Acumen,45,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,72
Data analysis,54,Data Scientist,8,Healthcare Fraud Shield,8,NA,1,73
all,1,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,74
python,2,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,75
r,3,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,76
java,4,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,77
c,5,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,78
c++,6,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,79
modeling,10,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,80
SQL,12,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,81
Computer science,15,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,82
Statistics,31,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,83
Mathematics,33,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,84
Mining,34,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,85
Leadership,53,Data Scientist,9,Silverman McGovern Staffing,9,NA,1,86
